"Countries, territories and areas","2022; Population using at least basic drinking-water services (%); Total","2022; Population using at least basic drinking-water services (%); Urban","2022; Population using at least basic drinking-water services (%); Rural","2022; Population using safely managed drinking-water services (%); Total","2022; Population using safely managed drinking-water services (%); Urban","2022; Population using safely managed drinking-water services (%); Rural","2021; Population using at least basic drinking-water services (%); Total","2021; Population using at least basic drinking-water services (%); Urban","2021; Population using at least basic drinking-water services (%); Rural","2021; Population using safely managed drinking-water services (%); Total","2021; Population using safely managed drinking-water services (%); Urban","2021; Population using safely managed drinking-water services (%); Rural","2020; Population using at least basic drinking-water services (%); Total","2020; Population using at least basic drinking-water services (%); Urban","2020; Population using at least basic drinking-water services (%); Rural","2020; Population using safely managed drinking-water services (%); Total","2020; Population using safely managed drinking-water services (%); Urban","2020; Population using safely managed drinking-water services (%); Rural","2019; Population using at least basic drinking-water services (%); Total","2019; Population using at least basic drinking-water services (%); Urban","2019; Population using at least basic drinking-water services (%); Rural","2019; Population using safely managed drinking-water services (%); Total","2019; Population using safely managed drinking-water services (%); Urban","2019; Population using safely managed drinking-water services (%); Rural","2018; Population using at least basic drinking-water services (%); Total","2018; Population using at least basic drinking-water services (%); Urban","2018; Population using at least basic drinking-water services (%); Rural","2018; Population using safely managed drinking-water services (%); Total","2018; Population using safely managed drinking-water services (%); Urban","2018; Population using safely managed drinking-water services (%); Rural","2017; Population using at least basic drinking-water services (%); Total","2017; Population using at least basic drinking-water services (%); Urban","2017; Population using at least basic drinking-water services (%); Rural","2017; Population using safely managed drinking-water services (%); Total","2017; Population using safely managed drinking-water services (%); Urban","2017; Population using safely managed drinking-water services (%); Rural","2016; Population using at least basic drinking-water services (%); Total","2016; Population using at least basic drinking-water services (%); Urban","2016; Population using at least basic drinking-water services (%); Rural","2016; Population using safely managed drinking-water services (%); Total","2016; Population using safely managed drinking-water services (%); Urban","2016; Population using safely managed drinking-water services (%); Rural","2015; Population using at least basic drinking-water services (%); Total","2015; Population using at least basic drinking-water services (%); Urban","2015; Population using at least basic drinking-water services (%); Rural","2015; Population using safely managed drinking-water services (%); Total","2015; Population using safely managed drinking-water services (%); Urban","2015; Population using safely managed drinking-water services (%); Rural","2014; Population using at least basic drinking-water services (%); Total","2014; Population using at least basic drinking-water services (%); Urban","2014; Population using at least basic drinking-water services (%); Rural","2014; Population using safely managed drinking-water services (%); Total","2014; Population using safely managed drinking-water services (%); Urban","2014; Population using safely managed drinking-water services (%); Rural","2013; Population using at least basic drinking-water services (%); Total","2013; Population using at least basic drinking-water services (%); Urban","2013; Population using at least basic drinking-water services (%); Rural","2013; Population using safely managed drinking-water services (%); Total","2013; Population using safely managed drinking-water services (%); Urban","2013; Population using safely managed drinking-water services (%); Rural","2012; Population using at least basic drinking-water services (%); Total","2012; Population using at least basic drinking-water services (%); Urban","2012; Population using at least basic drinking-water services (%); Rural","2012; Population using safely managed drinking-water services (%); Total","2012; Population using safely managed drinking-water services (%); Urban","2012; Population using safely managed drinking-water services (%); Rural","2011; Population using at least basic drinking-water services (%); Total","2011; Population using at least basic drinking-water services (%); Urban","2011; Population using at least basic drinking-water services (%); Rural","2011; Population using safely managed drinking-water services (%); Total","2011; Population using safely managed drinking-water services (%); Urban","2011; Population using safely managed drinking-water services (%); Rural","2010; Population using at least basic drinking-water services (%); Total","2010; Population using at least basic drinking-water services (%); Urban","2010; Population using at least basic drinking-water services (%); Rural","2010; Population using safely managed drinking-water services (%); Total","2010; Population using safely managed drinking-water services (%); Urban","2010; Population using safely managed drinking-water services (%); Rural","2009; Population using at least basic drinking-water services (%); Total","2009; Population using at least basic drinking-water services (%); Urban","2009; Population using at least basic drinking-water services (%); Rural","2009; Population using safely managed drinking-water services (%); Total","2009; Population using safely managed drinking-water services (%); Urban","2009; Population using safely managed drinking-water services (%); Rural","2008; Population using at least basic drinking-water services (%); Total","2008; Population using at least basic drinking-water services (%); Urban","2008; Population using at least basic drinking-water services (%); Rural","2008; Population using safely managed drinking-water services (%); Total","2008; Population using safely managed drinking-water services (%); Urban","2008; Population using safely managed drinking-water services (%); Rural","2007; Population using at least basic drinking-water services (%); Total","2007; Population using at least basic drinking-water services (%); Urban","2007; Population using at least basic drinking-water services (%); Rural","2007; Population using safely managed drinking-water services (%); Total","2007; Population using safely managed drinking-water services (%); Urban","2007; Population using safely managed drinking-water services (%); Rural","2006; Population using at least basic drinking-water services (%); Total","2006; Population using at least basic drinking-water services (%); Urban","2006; Population using at least basic drinking-water services (%); Rural","2006; Population using safely managed drinking-water services (%); Total","2006; Population using safely managed drinking-water services (%); Urban","2006; Population using safely managed drinking-water services (%); Rural","2005; Population using at least basic drinking-water services (%); Total","2005; Population using at least basic drinking-water services (%); Urban","2005; Population using at least basic drinking-water services (%); Rural","2005; Population using safely managed drinking-water services (%); Total","2005; Population using safely managed drinking-water services (%); Urban","2005; Population using safely managed drinking-water services (%); Rural","2004; Population using at least basic drinking-water services (%); Total","2004; Population using at least basic drinking-water services (%); Urban","2004; Population using at least basic drinking-water services (%); Rural","2004; Population using safely managed drinking-water services (%); Total","2004; Population using safely managed drinking-water services (%); Urban","2004; Population using safely managed drinking-water services (%); Rural","2003; Population using at least basic drinking-water services (%); Total","2003; Population using at least basic drinking-water services (%); Urban","2003; Population using at least basic drinking-water services (%); Rural","2003; Population using safely managed drinking-water services (%); Total","2003; Population using safely managed drinking-water services (%); Urban","2003; Population using safely managed drinking-water services (%); Rural","2002; Population using at least basic drinking-water services (%); Total","2002; Population using at least basic drinking-water services (%); Urban","2002; Population using at least basic drinking-water services (%); Rural","2002; Population using safely managed drinking-water services (%); Total","2002; Population using safely managed drinking-water services (%); Urban","2002; Population using safely managed drinking-water services (%); Rural","2001; Population using at least basic drinking-water services (%); Total","2001; Population using at least basic drinking-water services (%); Urban","2001; Population using at least basic drinking-water services (%); Rural","2001; Population using safely managed drinking-water services (%); Total","2001; Population using safely managed drinking-water services (%); Urban","2001; Population using safely managed drinking-water services (%); Rural","2000; Population using at least basic drinking-water services (%); Total","2000; Population using at least basic drinking-water services (%); Urban","2000; Population using at least basic drinking-water services (%); Rural","2000; Population using safely managed drinking-water services (%); Total","2000; Population using safely managed drinking-water services (%); Urban","2000; Population using safely managed drinking-water services (%); Rural"
"Afghanistan","82","99","76","30","36","28","80","99","73","29","36","27","77","96","70","28","36","26","74","94","67","27","35","25","71","91","64","27","34","24","68","89","61","26","33","23","65","87","58","25","33","22","62","84","55","24","32","21","60","82","52","23","31","20","57","80","49","22","30","19","54","78","47","21","30","18","51","75","44","20","29","18","49","73","41","19","28","17","46","71","39","18","27","16","44","69","36","17","27","15","41","66","33","17","26","14","39","64","31","16","25","13","36","62","29","15","24","12","34","60","26","14","24","11","32","58","24","13","23","10","30","57","22","12","22","9","27","55","20","11","21","8","27","55","20","11","21","8"
"Albania","95","96","94","71","","","95","96","94","71","","","95","96","94","71","","","95","96","93","71","","","94","96","93","71","","","94","96","92","71","","","94","95","91","71","","","93","95","91","71","","","93","95","90","71","","","93","95","89","68","","","92","95","89","66","","","92","95","88","64","","","91","95","87","62","","","91","95","87","60","","","90","95","86","58","","","90","95","85","56","","","90","95","84","54","","","89","95","84","53","","","89","95","83","51","","","88","95","82","49","","","87","95","82","49","","","87","95","81","49","","","86","95","80","49","",""
"Algeria","95","96","90","71","73","63","95","96","90","71","73","63","94","96","90","72","75","66","94","96","90","74","76","69","94","96","89","75","77","69","94","96","89","76","79","68","94","96","89","76","80","67","93","95","88","77","82","66","93","95","88","77","82","65","93","95","88","76","82","64","93","95","87","76","82","63","93","95","87","75","82","62","92","95","87","75","82","61","92","95","86","75","82","60","92","95","86","74","82","59","92","95","86","74","82","58","91","95","85","73","82","57","91","95","85","73","82","57","91","94","85","72","82","56","91","94","84","72","82","55","90","94","84","71","82","54","90","94","84","71","82","53","90","94","83","70","82","52"
"Andorra","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","","","100","100","100","91","",""
"Angola","58","72","28","","","","57","72","28","","","","57","72","28","","","","57","72","28","","","","57","72","28","","","","56","71","27","","","","55","71","27","","","","54","70","27","","","","54","70","26","","","","53","69","26","","","","52","69","26","","","","51","68","25","","","","50","68","25","","","","50","67","25","","","","49","66","24","","","","48","66","24","","","","47","65","23","","","","46","65","23","","","","45","64","23","","","","44","63","22","","","","43","63","22","","","","42","62","22","","","","41","61","21","","",""
"Antigua and Barbuda","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","98","98","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","99","100","93","","","","99","100","93","","","","99","99","93","","","","99","99","93","","","","99","99","93","","","","99","99","92","","","","98","99","90","","","","98","99","89","","","","98","99","87","","","","98","99","86","","","","98","99","85","","","","97","99","83","","","","97","99","82","","","","97","99","81","","","","97","99","79","","","","97","99","78","","","","96","99","76","","",""
"Armenia","100","100","100","82","","","100","100","100","83","","","100","100","100","83","","","100","100","100","83","","","100","100","100","83","","","100","100","99","83","","","100","100","99","83","","","100","100","99","83","","","99","100","99","83","","","99","100","98","83","","","99","100","97","83","","","98","100","96","83","","","98","99","96","83","","","98","99","95","83","","","98","99","94","83","","","97","99","94","83","","","97","99","93","83","","","97","99","92","83","","","96","99","92","83","","","96","99","91","83","","","96","99","90","83","","","96","99","90","82","","","95","99","89","82","",""
"Australia","100","100","100","","100","","100","100","100","","100","","100","100","100","","100","","100","100","100","","100","","100","100","100","","100","","100","100","100","","100","","100","100","100","","100","","100","100","100","","100","","100","100","100","","100","","100","100","100","","100","","100","100","100","","100","","100","100","100","","99","","100","100","100","","99","","100","100","100","","99","","100","100","100","","99","","100","100","99","","99","","100","100","99","","99","","100","100","99","","99","","100","100","99","","99","","100","100","99","","98","","100","100","99","","98","","100","100","99","","98","","100","100","99","","98",""
"Austria","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","",""
"Azerbaijan","98","100","94","72","92","81","97","100","93","71","92","80","96","100","92","71","92","79","96","100","90","70","92","77","95","100","89","70","92","76","94","100","87","69","92","75","93","99","86","68","92","74","93","99","85","68","92","73","91","99","82","67","91","70","90","98","80","67","91","67","89","98","78","66","91","64","87","97","76","66","91","61","86","97","74","65","91","58","85","96","72","64","91","55","83","96","70","64","90","53","82","95","68","63","89","50","81","95","66","63","88","48","80","94","64","62","87","45","78","94","62","61","86","43","77","93","60","61","84","40","76","93","58","60","83","38","75","92","56","59","82","36","73","92","54","58","81","34"
"Bahamas","","","","","","","","","","","","","","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","",""
"Bahrain","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","",""
